SiteCode,Site.Name,Site.Latitude,Site.Longitude,Country,surveys,Start,Latest,Times,X10,Latitude,Longitude
EMR15,NW inner bommie Middleton Reef,-29.4341,159.09479,Australia,4,2013,2018,2,NA,-29.43,159.09
EMR16,Wreck 3,-29.45407,159.04857,Australia,4,2013,2018,2,NA,-29.45,159.05
EMR18,North Cay Elizabeth Reef,-29.92554,159.0511,Australia,4,2013,2018,2,NA,-29.93,159.05
EMR19,Lagoon blue hole Elizabeth Reef,-29.93329,159.0561,Australia,4,2013,2018,2,NA,-29.93,159.06
EMR2,Lagoon 2 Middleton Reef,-29.45683,159.0622,Australia,4,2013,2018,2,NA,-29.46,159.06
EMR21,Elizabeth SW,-29.95787,159.02814,Australia,4,2013,2018,2,NA,-29.96,159.03
EMR22,Elizabeth SW2,-29.96119,159.03659,Australia,4,2013,2018,2,NA,-29.96,159.04
EMR23,Wreck Flank,-29.92823,159.02745,Australia,4,2013,2018,2,NA,-29.93,159.03
EMR24,North Point Elizabeth Reef,-29.911,159.0691,Australia,4,2013,2018,2,NA,-29.91,159.07
EMR25,Northern Tip,-29.91181,159.08131,Australia,4,2013,2018,2,NA,-29.91,159.08
EMR26,Elizabeth Anchorage South,-29.92682,159.04417,Australia,4,2013,2018,2,NA,-29.93,159.04
EMR27,Elizabeth Anchorage East,-29.91731,159.06029,Australia,4,2013,2018,2,NA,-29.92,159.06
EMR3,SW Lagoon Middleton Reef,-29.46451,159.06873,Australia,4,2013,2018,2,NA,-29.46,159.07
EMR30,NE Wreck Elizabeth Reef,-29.92296,159.09285,Australia,4,2013,2018,2,NA,-29.92,159.09
EMR31,NE Inlet Elizabeth Reef,-29.93369,159.09714,Australia,4,2013,2018,2,NA,-29.93,159.1
EMR32,East Elizabeth North,-29.95612,159.12732,Australia,4,2013,2018,2,NA,-29.96,159.13
EMR34,Middleton 8 South West,-29.48476,159.076616,Australia,2,2018,2018,1,NA,-29.48,159.08
EMR35,Middleton 6 South,-29.477283,159.1216,Australia,2,2018,2018,1,NA,-29.48,159.12
EMR36,Middleton 9 South East,-29.45436,159.1422,Australia,2,2018,2018,1,NA,-29.45,159.14
EMR37,Middleton South Outside,-29.48267,159.06495,Australia,2,2018,2018,1,NA,-29.48,159.06
EMR38,Middleton 3 Lagoon,-29.453716,159.065667,Australia,2,2018,2018,1,NA,-29.45,159.07
EMR40,Middleton 1,-29.4435,159.09767,Australia,2,2018,2018,1,NA,-29.44,159.1
EMR41,Elizabeth 6D,-29.93465,159.09327,Australia,2,2018,2018,1,NA,-29.93,159.09
EMR42,Lagoon Hole west,-29.94249,159.0847,Australia,2,2018,2018,1,NA,-29.94,159.08
EMR5,Wreck 2,-29.44269,159.06088,Australia,4,2013,2018,2,NA,-29.44,159.06
EMR6,North West Horn,-29.44366,159.06796,Australia,4,2013,2018,2,NA,-29.44,159.07
EMR7,Back reef bommie Middleton Reef,-29.44,159.09315,Australia,4,2013,2018,2,NA,-29.44,159.09
EMR8,Back Reef 1,-29.44563,159.09369,Australia,4,2013,2018,2,NA,-29.45,159.09
EMR9,Blue Holes W,-29.44278,159.11231,Australia,4,2013,2018,2,NA,-29.44,159.11
ET1,Dili Rock East,-8.55728,125.50053,East Timor,2,2014,2014,1,NA,-8.56,125.5
ETP1,Isla Urava SE,8.77213,-79.53417,Panama,2,2011,2011,1,NA,8.77,-79.53
ETP10,El Hotel,8.22567,-79.10636,Panama,2,2011,2011,1,NA,8.23,-79.11
ETP100,El Arco,8.3095,-79.09903,Panama,4,2011,2011,1,NA,8.31,-79.1
ETP101,Punta Santa Cruz,8.26347,-79.069,Panama,2,2011,2011,1,NA,8.26,-79.07
ETP103,San Jose NE,8.31623,-79.10264,Panama,2,2011,2011,1,NA,8.32,-79.1
ETP104,Boulder Field,8.31477,-79.12072,Panama,2,2011,2011,1,NA,8.31,-79.12
ETP105,Isla Senora,8.44639,-79.10956,Panama,2,2011,2011,1,NA,8.45,-79.11
ETP106,Bahía San Telmo Sth,8.22991,-78.90163,Panama,2,2011,2011,1,NA,8.23,-78.9
ETP107,Isla de Monte,8.33071,-78.80663,Panama,2,2011,2011,1,NA,8.33,-78.81
ETP108,Isla de Cana 1,8.39036,-78.81526,Panama,2,2011,2011,1,NA,8.39,-78.82
ETP11,Canal Afuerita,7.7064,-81.63515,Panama,4,2007,2011,2,NA,7.71,-81.64
ETP110,El Elephante,8.4077,-78.80353,Panama,2,2011,2011,1,NA,8.41,-78.8
ETP111,Isla del Espiritu Santo,8.42954,-78.84869,Panama,2,2011,2011,1,NA,8.43,-78.85
ETP112,Pablo,8.45339,-78.84975,Panama,2,2011,2011,1,NA,8.45,-78.85
ETP113,El Cangreion,8.48361,-78.91944,Panama,3,2011,2011,1,NA,8.48,-78.92
ETP114,Punta Galera,8.63514,-79.03461,Panama,2,2011,2011,1,NA,8.64,-79.03
ETP115,Bahía Guacamaya  Costa Rica,10.51775,-85.79197,Costa Rica,1,2008,2008,1,NA,10.52,-85.79
ETP116,Monkeys Head Costa Rica,10.607367,-85.702467,Costa Rica,1,2008,2008,1,NA,10.61,-85.7
ETP117,Punta Ulloa (d) Cocos,5.550215,-87.0331,Costa Rica,3,2006,2008,2,NA,5.55,-87.03
ETP118,Isla Paraja (s) Cocos,5.554117,-87.054083,Costa Rica,3,2006,2008,2,NA,5.55,-87.05
ETP119,Isla Manuelita afuera (s) Cocos,5.56095,-87.048517,Costa Rica,4,2006,2008,2,NA,5.56,-87.05
ETP12,Canal Afuera,7.69188,-81.61163,Panama,2,2011,2011,1,NA,7.69,-81.61
ETP120,Punta Maria (d) Cocos,5.534833,-87.0875,Costa Rica,1,2008,2008,1,NA,5.53,-87.09
ETP123,Isla Pargo Panama,7.962467,-82.057817,Panama,1,2008,2008,1,NA,7.96,-82.06
ETP124,SW Isla Pargo  Panama,7.953,-82.056867,Panama,1,2008,2008,1,NA,7.95,-82.06
ETP125,Isla Brincano  Panama,7.8733,-81.79395,Panama,1,2008,2008,1,NA,7.87,-81.79
ETP126,"Acuario, Isla de la Plata",-1.272865,-81.05368,Ecuador,1,2008,2008,1,NA,-1.27,-81.05
ETP127,Ahorcado,-1.67312,-80.83468,Ecuador,2,2008,2008,1,NA,-1.67,-80.83
ETP128,Arco Darwin,1.67363,-91.98928,Ecuador,1,2008,2008,1,NA,1.67,-91.99
ETP13,Uva NE,7.82668,-81.75825,Panama,4,2007,2011,2,NA,7.83,-81.76
ETP130,Arrecife Escondido,1.676825,-92.007517000000007,Ecuador,2,2008,2008,1,NA,1.68,-92.01
ETP131,Bahía Damas Sur,7.39795,-81.6593,Panama,2,2007,2007,1,NA,7.4,-81.66
ETP132,Bahía Darwin Pared Este,0.3045,-89.95016,Ecuador,2,2008,2008,1,NA,0.3,-89.95
ETP133,Bahía Darwin Pared Norte,0.31164,-89.9456,Ecuador,2,2008,2008,1,NA,0.31,-89.95
ETP134,Bahía Gardner Norte (1),-1.34421,-89.6682,Ecuador,2,2008,2008,1,NA,-1.34,-89.67
ETP135,Bahía Gardner Norte (2),-1.34534,-89.66467,Ecuador,2,2008,2008,1,NA,-1.35,-89.66
ETP136,Bahía Gardner Sur,-1.3655,-89.6337,Ecuador,2,2008,2008,1,NA,-1.37,-89.63
ETP137,"Bahía Raya, Isla de la Plata",-1.2837,-81.06969,Ecuador,1,2008,2008,1,NA,-1.28,-81.07
ETP138,Bahía Sullivan,-0.28115,-90.56861,Ecuador,2,2008,2008,1,NA,-0.28,-90.57
ETP139,Bajo Gardner,-1.34813,-89.6366,Ecuador,2,2008,2008,1,NA,-1.35,-89.64
ETP140,Bajo Montuosa Oeste,7.47135,-82.2659,Panama,2,2007,2007,1,NA,7.47,-82.27
ETP141,Bajo Telesto,7.51805,-81.89558333,Panama,2,2007,2007,1,NA,7.52,-81.9
ETP142,Barco Quebrado,7.31805,-81.67278333,Panama,2,2007,2007,1,NA,7.32,-81.67
ETP143,Bartolomé,-0.27971,-90.54489,Ecuador,2,2008,2008,1,NA,-0.28,-90.54
ETP144,Brincanco SO,7.85345,-81.8025,Panama,2,2007,2007,1,NA,7.85,-81.8
ETP145,Cabo Douglas Fondeadero,-0.30119,-91.65047,Ecuador,2,2008,2008,1,NA,-0.3,-91.65
ETP147,Cabo Douglas Sur (1),-0.3188,-91.6676,Ecuador,1,2008,2008,1,NA,-0.32,-91.67
ETP148,Cabo Douglas Sur (2),-0.3092,-91.6647,Ecuador,2,2008,2008,1,NA,-0.31,-91.66
ETP149,Caleta Tagus Turismo (1),-0.26461,-91.37553,Ecuador,2,2008,2008,1,NA,-0.26,-91.38
ETP150,Caleta Tagus Turismo (2),-0.26766,-91.37229,Ecuador,2,2008,2008,1,NA,-0.27,-91.37
ETP152,Canal Afuera SO,7.691883333,-81.63953333,Panama,2,2007,2007,1,NA,7.69,-81.64
ETP153,Caseta PNG (1),-0.30223,-91.35976,Ecuador,2,2008,2008,1,NA,-0.3,-91.36
ETP154,Caseta PNG (2),-0.31059,-91.3543,Ecuador,2,2008,2008,1,NA,-0.31,-91.35
ETP155,Cerro Colorado,-1.37844,-89.6236,Ecuador,2,2008,2008,1,NA,-1.38,-89.62
ETP156,Corona del Diablo Norte,-1.21579,-90.42287,Ecuador,1,2008,2008,1,NA,-1.22,-90.42
ETP158,Darwin Fondeadero Norte,1.68095,-92.001,Ecuador,2,2008,2008,1,NA,1.68,-92
ETP160,El Arrecife,4.004657,-81.604326,Colombia,6,2006,2016,3,NA,4,-81.6
ETP161,El Freezer,4.003676,-81.610646,Colombia,4,2006,2012,2,NA,4,-81.61
ETP162,El Muerto,-0.29786,-90.55091,Ecuador,2,2008,2008,1,NA,-0.3,-90.55
ETP163,Faro Isla de la Plata,-1.25875,-81.0599217,Ecuador,2,2008,2008,1,NA,-1.26,-81.06
ETP164,Genovesa Fondeadero Norte (1),0.34017,-89.96983,Ecuador,2,2008,2008,1,NA,0.34,-89.97
ETP165,Genovesa Fondeadero Norte (2),0.33531,-89.97502,Ecuador,2,2008,2008,1,NA,0.34,-89.98
ETP166,Genovesa Protección Este,0.30032,-89.94461,Ecuador,2,2008,2008,1,NA,0.3,-89.94
ETP167,Genovesa Protección Oeste,0.30678,-89.9681,Ecuador,2,2008,2008,1,NA,0.31,-89.97
ETP169,Hill Rocks,7.2852,-81.67301667,Panama,2,2007,2007,1,NA,7.29,-81.67
ETP170,Horno de Pan,-1.49309,-80.8061,Ecuador,1,2008,2008,1,NA,-1.49,-80.81
ETP171,Isla Gardner,-1.33901,-89.64402,Ecuador,2,2008,2008,1,NA,-1.34,-89.64
ETP172,Isla Sombrerito,-1.403595,-80.76950833,Ecuador,2,2008,2008,1,NA,-1.4,-80.77
ETP173,Islote Coco Norte,7.623616667,-81.71166667,Panama,2,2007,2007,1,NA,7.62,-81.71
ETP174,Islote Espejo,0.30936,-90.40312,Ecuador,2,2008,2008,1,NA,0.31,-90.4
ETP175,Islote Sucre,-1.471281667,-80.78385833,Ecuador,1,2008,2008,1,NA,-1.47,-80.78
ETP176,Islote Xarifa Sur,-1.3579,-89.64422,Ecuador,1,2008,2008,1,NA,-1.36,-89.64
ETP177,Jicaron Oeste,7.25765,-81.82391667,Panama,2,2007,2007,1,NA,7.26,-81.82
ETP178,La Botella,-1.29029,-90.4989,Ecuador,2,2008,2008,1,NA,-1.29,-90.5
ETP181,Las Cuevas Norte,-1.25141,-90.3742,Ecuador,2,2008,2008,1,NA,-1.25,-90.37
ETP182,Las Cuevas Sur,-1.26277,-90.3581,Ecuador,2,2008,2008,1,NA,-1.26,-90.36
ETP183,Llorona,-1.47334,-80.78931333,Ecuador,2,2008,2008,1,NA,-1.47,-80.79
ETP184,Los Cañones Pesca (1),-0.32864,-91.33796,Ecuador,2,2008,2008,1,NA,-0.33,-91.34
ETP186,Los Islotes Salango,-1.600766667,-80.85869167,Ecuador,2,2008,2008,1,NA,-1.6,-80.86
ETP187,Montuosa Norte,7.477833333,-82.2433,Panama,2,2007,2007,1,NA,7.48,-82.24
ETP188,Montuosa Sureste,7.462416667,-82.23206667,Panama,2,2007,2007,1,NA,7.46,-82.23
ETP189,Palo Santo Isla de la Plata,-1.275146667,-81.05207,Ecuador,1,2008,2008,1,NA,-1.28,-81.05
ETP19,Atrevido,5.52842,-87.02996,Costa Rica,4,2006,2011,2,NA,5.53,-87.03
ETP190,Paraíso de Pedro,-0.33477,-91.6579,Ecuador,1,2008,2008,1,NA,-0.33,-91.66
ETP191,Pared Fantasma,4.006528,-81.603535,Colombia,4,2006,2016,2,NA,4.01,-81.6
ETP192,Pared Naufrago,4.00831,-81.606025,Colombia,5,2006,2012,2,NA,4.01,-81.61
ETP195,Pasage Rock,7.316383333,-81.71111667,Panama,2,2007,2007,1,NA,7.32,-81.71
ETP196,Pedernales Machalilla,-1.500741667,-80.804715,Ecuador,1,2008,2008,1,NA,-1.5,-80.8
ETP197,Playa Tortuga Negra (1),-0.25808,-91.38719,Ecuador,2,2008,2008,1,NA,-0.26,-91.39
ETP2,TabogaSW,8.77569,-79.54421,Panama,2,2011,2011,1,NA,8.78,-79.54
ETP20,Punta Maria,5.53536,-87.08679,Costa Rica,8,2006,2011,2,NA,5.54,-87.09
ETP200,Punta Adelarda,7.487566667,-81.88863333,Panama,2,2007,2007,1,NA,7.49,-81.89
ETP201,Punta Aeropuerto Isla de la Plata,-1.279065,-81.07523667,Ecuador,1,2008,2008,1,NA,-1.28,-81.08
ETP203,Punta Calle Este,0.2821,-90.49147,Ecuador,2,2008,2008,1,NA,0.28,-90.49
ETP204,Punta Calle Oeste,0.28602,-90.50151,Ecuador,2,2008,2008,1,NA,0.29,-90.5
ETP205,Punta Cormorán,-1.22564,-90.4195,Ecuador,2,2008,2008,1,NA,-1.23,-90.42
ETP206,Punta Damas,7.516716667,-81.67083333,Panama,2,2007,2007,1,NA,7.52,-81.67
ETP207,Punta Espinosa Norte (1),-0.27079,-91.437,Ecuador,2,2008,2008,1,NA,-0.27,-91.44
ETP208,Punta Espinosa Norte (2),-0.261942,-91.44458,Ecuador,2,2008,2008,1,NA,-0.26,-91.44
ETP21,Roca Sucia,5.54822,-87.0817,Costa Rica,5,2006,2011,3,NA,5.55,-87.08
ETP210,Punta Espinosa Sur (2),-0.2739,-91.4311,Ecuador,2,2008,2008,1,NA,-0.27,-91.43
ETP211,Punta Felipa,7.421816667,-81.69548333,Panama,2,2007,2007,1,NA,7.42,-81.7
ETP212,Punta Hermosa Norte,7.54435,-81.85898333,Panama,2,2007,2007,1,NA,7.54,-81.86
ETP213,Punta Luz de Día,-1.23015,-90.4737,Ecuador,2,2008,2008,1,NA,-1.23,-90.47
ETP215,Punta Machete Isla de la Plata,-1.255326667,-81.07017167,Ecuador,1,2008,2008,1,NA,-1.26,-81.07
ETP216,Punta Mala,-1.52181,-80.81674167,Ecuador,1,2008,2008,1,NA,-1.52,-80.82
ETP217,Punta Moreno Pesca (1),-0.69246,-91.32271,Ecuador,2,2008,2008,1,NA,-0.69,-91.32
ETP219,Punta Moreno Prot (1),-0.71585,-91.3404,Ecuador,2,2008,2008,1,NA,-0.72,-91.34
ETP22,Punta Gissler,5.54335,-87.07175,Costa Rica,6,2006,2011,3,NA,5.54,-87.07
ETP220,Punta Moreno Prot (2),-0.72589,-91.34984,Ecuador,2,2008,2008,1,NA,-0.73,-91.35
ETP221,Punta Moreno Turismo (1),-0.70053,-91.33129,Ecuador,2,2008,2008,1,NA,-0.7,-91.33
ETP223,Punta Piedra Hueca,7.4054,-81.81823333,Panama,2,2007,2007,1,NA,7.41,-81.82
ETP224,Punta Priscila (1),-0.3713,-91.3813,Ecuador,2,2008,2008,1,NA,-0.37,-91.38
ETP226,Punta Vicente Roca Pesca (1),-0.04116,-91.52752,Ecuador,2,2008,2008,1,NA,-0.04,-91.53
ETP227,Punta Vicente Roca Pesca (2),-0.04037,-91.52193,Ecuador,2,2008,2008,1,NA,-0.04,-91.52
ETP228,Punta Vicente Roca Prot (1),-0.04991,-91.54678,Ecuador,2,2008,2008,1,NA,-0.05,-91.55
ETP229,Punta Vicente Roca Prot (2),-0.04701,-91.54444,Ecuador,1,2008,2008,1,NA,-0.05,-91.54
ETP23,Punta Presidio,5.54994,-87.0604,Costa Rica,6,2006,2011,3,NA,5.55,-87.06
ETP230,Punta Vicente Roca Turismo (1),-0.0536,-91.55924,Ecuador,2,2008,2008,1,NA,-0.05,-91.56
ETP232,Roca Cousins,-0.23645,-90.57447,Ecuador,2,2008,2008,1,NA,-0.24,-90.57
ETP234,Roca Sumergida,5.50014,-87.0801225,Costa Rica,2,2006,2006,1,NA,5.5,-87.08
ETP235,Salango Sur,-1.591023333,-80.871545,Ecuador,1,2008,2008,1,NA,-1.59,-80.87
ETP236,Santiago Noreste (1),-0.23095,-90.58803,Ecuador,2,2008,2008,1,NA,-0.23,-90.59
ETP237,Santiago Noreste (2),-0.23551,-90.58061,Ecuador,2,2008,2008,1,NA,-0.24,-90.58
ETP238,Secas E,7.94755,-82.02231667,Panama,2,2007,2007,1,NA,7.95,-82.02
ETP239,Secas SE,7.9521,-82.03661667,Panama,2,2007,2007,1,NA,7.95,-82.04
ETP241,Tres Cuevitas,-1.23515,-90.4084,Ecuador,2,2008,2008,1,NA,-1.24,-90.41
ETP242,Uvita Abajo,7.802416667,-81.74603333,Panama,2,2007,2007,1,NA,7.8,-81.75
ETP243,Wolf Colonia de Lobos Norte,1.38374,-91.8117,Ecuador,2,2008,2008,1,NA,1.38,-91.81
ETP245,Wolf Corales (1),1.38696,-91.8164,Ecuador,2,2008,2008,1,NA,1.39,-91.82
ETP247,Wolf Fondeadero (1),1.37867,-91.8194,Ecuador,2,2008,2008,1,NA,1.38,-91.82
ETP25,Dos Amigos,5.50856,-87.10121,Costa Rica,3,2006,2011,2,NA,5.51,-87.1
ETP26,Roca Aleta de Tiburón,5.49312,-87.08898,Costa Rica,1,2011,2011,1,NA,5.49,-87.09
ETP27,Punta Leonel,5.5193,-87.09582,Costa Rica,4,2006,2011,2,NA,5.52,-87.1
ETP28,Bahía Iglesias,5.50579,-87.06775,Costa Rica,4,2006,2011,2,NA,5.51,-87.07
ETP29,Bahía Inutil,5.51755,-87.04805,Costa Rica,1,2011,2011,1,NA,5.52,-87.05
ETP3,Urava Islote,8.76728,-79.539,Panama,2,2011,2011,1,NA,8.77,-79.54
ETP30,Bahía Carrillo 1,9.86011,-85.48717,Costa Rica,2,2011,2011,1,NA,9.86,-85.49
ETP31,Isla Chora,9.86374,-85.51617,Costa Rica,2,2011,2011,1,NA,9.86,-85.52
ETP32,Bahía Carrillo 2 (NW),9.8652,-85.49651,Costa Rica,2,2011,2011,1,NA,9.87,-85.5
ETP34,Bahía Carrillo 4,9.86422,-85.4967,Costa Rica,2,2011,2011,1,NA,9.86,-85.5
ETP35,Punta Muneco,9.85037,-85.46999,Costa Rica,2,2011,2011,1,NA,9.85,-85.47
ETP36,Camaronal Este,9.85023,-85.41877,Costa Rica,2,2011,2011,1,NA,9.85,-85.42
ETP37,Bahía Islita,9.8485,-85.40214,Costa Rica,1,2011,2011,1,NA,9.85,-85.4
ETP38,Punta Islita,9.8424,-85.40054,Costa Rica,2,2011,2011,1,NA,9.84,-85.4
ETP39,Bahía Camaronal,9.85339,-85.46064,Costa Rica,3,2011,2011,1,NA,9.85,-85.46
ETP4,Pachequilla,8.67092,-79.06583,Panama,2,2011,2011,1,NA,8.67,-79.07
ETP40,Punta Corsalito,9.84155,-85.37397,Costa Rica,2,2011,2011,1,NA,9.84,-85.37
ETP41,Coyote Caves,9.76736,-85.27205,Costa Rica,2,2011,2011,1,NA,9.77,-85.27
ETP42,Punta Bejuco,9.81501,-85.3322,Costa Rica,2,2011,2011,1,NA,9.82,-85.33
ETP43,Caletas,9.7588,-85.27452,Costa Rica,3,2011,2011,1,NA,9.76,-85.27
ETP45,Punta San José,8.67714,-83.71687,Costa Rica,2,2011,2011,1,NA,8.68,-83.72
ETP46,Chorro,8.70656,-83.86634,Costa Rica,2,2011,2011,1,NA,8.71,-83.87
ETP47,Pharo,8.70352,-83.89795,Costa Rica,2,2011,2011,1,NA,8.7,-83.9
ETP48,The Garden,8.71446,-83.882,Costa Rica,1,2011,2011,1,NA,8.71,-83.88
ETP49,Station West,8.71151,-83.89129,Costa Rica,2,2011,2011,1,NA,8.71,-83.89
ETP5,Pachequilla Este,8.67322,-79.06106,Panama,2,2011,2011,1,NA,8.67,-79.06
ETP50,Ship Wreck,8.71817,-83.87642,Costa Rica,2,2011,2011,1,NA,8.72,-83.88
ETP51,Cano Coral Gardens,8.71623,-83.86901,Costa Rica,2,2011,2011,1,NA,8.72,-83.87
ETP52,Caulerpa Gardens,8.6983,-83.8891,Costa Rica,2,2011,2011,1,NA,8.7,-83.89
ETP53,Diablo,8.70105,-83.9147,Costa Rica,1,2011,2011,1,NA,8.7,-83.91
ETP54,Paradiso,8.73154,-83.82632,Costa Rica,1,2011,2011,1,NA,8.73,-83.83
ETP55,Punta San Pedro,8.63799,-83.73633,Costa Rica,2,2011,2011,1,NA,8.64,-83.74
ETP56,Roca Matapalo,8.36985,-83.28786,Costa Rica,2,2011,2011,1,NA,8.37,-83.29
ETP57,Ladrones NW,7.87083,-82.44462,Panama,2,2011,2011,1,NA,7.87,-82.44
ETP59,Isla Tintorera,8.12392,-82.30329,Panama,2,2011,2011,1,NA,8.12,-82.3
ETP6,Chapera,8.58036,-79.01867,Panama,2,2011,2011,1,NA,8.58,-79.02
ETP60,Punta Lanza,8.11851,-82.3236,Panama,2,2011,2011,1,NA,8.12,-82.32
ETP61,Isla Berraco,8.08927,-82.25797,Panama,2,2011,2011,1,NA,8.09,-82.26
ETP64,Secas,7.99153,-82.07242,Panama,2,2011,2011,1,NA,7.99,-82.07
ETP65,Islote Cavada NE,8.00028,-82.0261,Panama,4,2007,2011,2,NA,8,-82.03
ETP66,Secas O,7.97507,-82.0184,Panama,4,2007,2011,2,NA,7.98,-82.02
ETP68,Roca Bruja,7.99112,-81.9825,Panama,4,2007,2011,2,NA,7.99,-81.98
ETP69,Bajo Urraca,7.8391,-81.79657,Panama,4,2007,2011,2,NA,7.84,-81.8
ETP7,Membrillo,8.51917,-79.01083,Panama,1,2011,2011,1,NA,8.52,-79.01
ETP70,Brincanco,7.84978,-81.78748,Panama,4,2007,2011,2,NA,7.85,-81.79
ETP71,Isla Pajaros,7.8704,-81.77695,Panama,4,2007,2011,2,NA,7.87,-81.78
ETP73,Bajo El Sueno del Pescador,7.88547,-81.8143,Panama,2,2011,2011,1,NA,7.89,-81.81
ETP74,Sin Nombre NE,7.84293,-81.7539,Panama,4,2007,2011,2,NA,7.84,-81.75
ETP75,Urita Arriba,7.8192833,-81.738783,Panama,4,2007,2011,2,NA,7.82,-81.74
ETP76,Almohada N,7.81937,-81.77153,Panama,4,2007,2011,2,NA,7.82,-81.77
ETP77,Uva Sur,7.8010333,-81.76105,Panama,4,2007,2011,2,NA,7.8,-81.76
ETP78,Roca Prosper,7.7762,-81.760017,Panama,4,2007,2011,2,NA,7.78,-81.76
ETP79,Roca  Corbita,7.6562,-81.73015,Panama,4,2007,2011,2,NA,7.66,-81.73
ETP8,Isla Casayeta,8.5307,-79.00595,Panama,1,2011,2011,1,NA,8.53,-79.01
ETP80,Frijol,7.6501667,-81.71845,Panama,4,2007,2011,2,NA,7.65,-81.72
ETP81,Islote derecha Racheria,7.62511,-81.71169,Panama,2,2011,2011,1,NA,7.63,-81.71
ETP82,Punta Iglesia,7.63295,-81.69427,Panama,4,2007,2011,2,NA,7.63,-81.69
ETP83,Granito de Oro,7.59307,-81.71005,Panama,4,2007,2011,2,NA,7.59,-81.71
ETP84,Punta Baltazar Oeste,7.64627,-81.76115,Panama,4,2007,2011,2,NA,7.65,-81.76
ETP85,Coiba coral reef NE,7.63272,-81.7344,Panama,5,2007,2011,2,NA,7.63,-81.73
ETP86,Islote Santa Cruz,7.6311333,-81.7822,Panama,4,2007,2011,2,NA,7.63,-81.78
ETP87,Bajo Twin Peaks,7.58555,-81.84167,Panama,4,2007,2011,2,NA,7.59,-81.84
ETP88,Piedra Hacha,7.4325167,-81.8579,Panama,4,2007,2011,2,NA,7.43,-81.86
ETP89,Jicarón Noroeste,7.29649,-81.82322,Panama,4,2007,2011,2,NA,7.3,-81.82
ETP9,Don Bernado,8.40062,-79.07819,Panama,2,2011,2011,1,NA,8.4,-79.08
ETP90,Jicaron Este,7.2661167,-81.78305,Panama,4,2007,2011,2,NA,7.27,-81.78
ETP91,Jicarita E,7.21305,-81.79862,Panama,4,2007,2011,2,NA,7.21,-81.8
ETP92,La Cathedral  Jicarita,7.2266833,-81.829283,Panama,3,2007,2011,2,NA,7.23,-81.83
ETP93,Jicarita Sur,7.20322,-81.79869,Panama,4,2007,2011,2,NA,7.2,-81.8
ETP94,Logan Rock,7.33073,-81.724183,Panama,4,2007,2011,2,NA,7.33,-81.72
ETP95,Bajo Punta Anegada,7.34713,-81.59093,Panama,4,2007,2011,2,NA,7.35,-81.59
ETP96,Frailes del Sur,7.33722,-80.13867,Panama,2,2011,2011,1,NA,7.34,-80.14
ETP97,Bajo del diabolo,8.4174,-79.12924,Panama,2,2011,2011,1,NA,8.42,-79.13
EYR23,Hanson Bay,-36.01776,136.8553,Australia,1,2014,2014,1,NA,-36.02,136.86
EYR24,Pearson Island Bay NW,-33.94051,134.26668,Australia,4,2014,2018,2,NA,-33.94,134.27
EYR25,Flinders Island NW reef,-33.68615,134.46529,Australia,4,2014,2014,1,NA,-33.69,134.47
EYR28,Pearson Island SE bay,-33.96242,134.27149,Australia,6,2014,2018,2,NA,-33.96,134.27
EYR29,Pearson Island east,-33.95124,134.27429,Australia,4,2014,2018,2,NA,-33.95,134.27
EYR32,Flinders Island anchorage,-33.68436,134.48677,Australia,4,2014,2018,2,NA,-33.68,134.49
EYR33,Greenly Island,-34.6438,134.79522,Australia,4,2014,2014,1,NA,-34.64,134.8
EYR34,Wedge Island west ladders,-35.1469,136.44682,Australia,4,2014,2014,1,NA,-35.15,136.45
EYR35,Bakers Hole,-33.01207,134.18019,Australia,3,2009,2009,1,NA,-33.01,134.18
EYR36,Cave Bay,-33.01073,134.17133,Australia,2,2009,2009,1,NA,-33.01,134.17
EYR37,Cave Beach West,-33.00831,134.16429,Australia,2,2009,2009,1,NA,-33.01,134.16
EYR39,Smooth Pools,-32.92558,134.07834,Australia,2,2009,2009,1,NA,-32.93,134.08
EYR40,Granites South,-32.92133,134.07803,Australia,3,2009,2009,1,NA,-32.92,134.08
EYR41,Point Westell North,-32.90669,134.0673,Australia,3,2009,2009,1,NA,-32.91,134.07
EYR43,High Cliff North,-32.86498,134.10091,Australia,3,2009,2009,1,NA,-32.86,134.1
EYR44,Mouth of Baird Bay,-33.18679,134.3529,Australia,3,2009,2009,1,NA,-33.19,134.35
EYR45,Jones Island NW,-33.18513,134.35915,Australia,3,2009,2009,1,NA,-33.19,134.36
EYR46,The Mad Mile,-33.18396,134.377759,Australia,3,2009,2009,1,NA,-33.18,134.38
EYR47,Solar Tubes,-33.09508,134.257,Australia,3,2009,2009,1,NA,-33.1,134.26
EYR48,Flinders Island North,-33.67553,134.5165,Australia,4,2018,2018,1,NA,-33.68,134.52
FI1,Cochon I,-51.60486,-57.78846,Falkland Islands (Malvinas),1,2012,2012,1,NA,-51.6,-57.79
FI2,Kidney Cove N,-51.6231,-57.76894,Falkland Islands (Malvinas),1,2012,2012,1,NA,-51.62,-57.77
FI3,Bottom Tussock I,-51.67206,-57.74189,Falkland Islands (Malvinas),1,2012,2012,1,NA,-51.67,-57.74
FI4,Surf Bay,-51.69449,-57.76699,Falkland Islands (Malvinas),1,2012,2012,1,NA,-51.69,-57.77
